id,original_title,chinese_title
32856,Valentine's Day,情人节
817,Austin Powers: The Spy Who Shagged Me,王牌大贱谍2：绝世好贱
703,Annie Hall,安妮·霍尔
58233,Johnny English Reborn,重返危机
8271,Disturbia,不确定
232672,Blended,混血家庭
9392,The Descent,地下归途
225565,That Awkward Moment,不确定
34584,The Neverending Story,无尽的故事
12163,The Wrestler,摔跤手
10947,High School Musical,歌舞青春 (Gēwǔ qīngchūn)
267935,The BFG,大友好巨人
853,Enemy at the Gates,狙击生死线
257445,Goosebumps,鸡皮疙瘩
2280,Big,大
57212,War Horse,战马
9804,Waterworld,水世界
3981,What Women Want,我不确定
9800,Philadelphia,费城
658,Goldfinger,金手指
10719,Elf,精灵宝可梦
8967,The Tree of Life,生命之树
109491,Beautiful Creatures,美丽生物
242512,Ouija,灵动：魔怔棋
280092,Insidious: Chapter 3,潜伏3
4248,Scary Movie 2,鬼片续集
9472,DodgeBall: A True Underdog Story,绝地逃亡
818,Austin Powers in Goldmember,黄金大侠奥斯汀
51828,One Day,NotSure
172385,Rio 2,里约大冒险2
6557,27 Dresses,27件婚纱
6023,P.S. I Love You,NotSure
9286,Final Destination 3,NotSure
276907,Legend,传奇
20943,The Ugly Truth,丑陋的真相
1586,Secret Window,秘窗
770,Gone with the Wind,乱世佳人
2486,Eragon,不确定
16871,Drag Me to Hell,不确定
1620,Hitman,NotSure
2277,Bicentennial Man,两百年的人
308531,Teenage Mutant Ninja Turtles: Out of the Shadows,忍者神龟2：破影而出
1493,Miss Congeniality,极品女士 (Jípǐn Nǚshì)
59965,Abduction,劫持
90,Beverly Hills Cop,贝弗利山警探
10184,He's Just Not That Into You,他其实对你没那么在乎
10137,Stuart Little,史都华小老鼠
76,Before Sunrise,爱在黎明破晓前
1669,The Hunt for Red October,红色十月的追猎
68737,Seventh Son,第七子
8810,Mad Max 2,疯狂的麦克斯2
68727,Trance,催眠
266647,Pan,潘恩
18487,The Taking of Pelham 1 2 3,贼劫列车123
9495,The Crow,乌鸦
392,Chocolat,巧克力情缘
228970,Wild,狂野
664,Twister,龙卷风
295964,Burnt,烈焰厨房
639,When Harry Met Sally...,当哈利遇见莎莉
8645,The Happening,NotSure
9016,Treasure Planet,宝藏星球
23169,Remember Me,记住我
77877,The Lucky One,幸运之人
9982,Chicken Little,小鸡快跑
257091,Get Hard,NotSure
15121,The Sound of Music,音乐之声
646,Dr. No,诺博士
1578,Raging Bull,狂牛
300671,13 Hours: The Secret Soldiers of Benghazi,13小时：班加西的秘密士兵
65057,The Descendants,后裔
227719,Project Almanac,时空破局
9705,Swordfish,不确定
62214,Frankenweenie,弗兰肯魔怪
59108,Tower Heist,超级大盗
1966,Alexander,亚历山大
2123,"Me, Myself & Irene",我、我自己和艾琳
714,Tomorrow Never Dies,明日帝国
49527,Man on a Ledge,高空狂徒
52451,The Three Musketeers,NotSure
109443,Anchorman 2: The Legend Continues,玩家传奇2：传奇继续
35690,The Last Song,最后的歌
49730,Red Riding Hood,红色骑士
11778,The Deer Hunter,猎鹿人
1587,What's Eating Gilbert Grape,吉尔伯特·葛雷普的一生
470,21 Grams,21克
109451,Cloudy with a Chance of Meatballs 2,食破天驚2
2898,As Good as It Gets,好好先生
9471,Charlie's Angels: Full Throttle,查理的天使：全速前进
9390,Jerry Maguire,杰瑞·麦圭尔
4256,Scary Movie 3,惊声尖笑3
10316,The Ides of March,NotSure
8367,Robin Hood: Prince of Thieves,罗宾汉：强盗王子
74465,We Bought a Zoo,我们买了动物园
9476,A Knight's Tale,骑士传奇
43539,The Next Three Days,未来三天
663,Saw IV,NotSure
50348,The Lincoln Lawyer,林肯律师
41446,Scream 4,惊声尖叫4
957,Spaceballs,太空无敌小子
