id,original_title,chinese_title
1892,Return of the Jedi,绝地归来
157350,Divergent,分歧者
23483,Kick-Ass,不可思议的英文电影'Kick-Ass'没有官方的中文译名。
12155,Alice in Wonderland,爱丽丝梦游仙境
62177,Brave,勇敢的心
93456,Despicable Me 2,神偷奶爸2
10193,Toy Story 3,玩具总动员3
211672,Minions,小黄人
82690,Wreck-It Ralph,无敌破坏王
37165,The Truman Show,楚门的世界
194662,Birdman,不确定
57158,The Hobbit: The Desolation of Smaug,哈比人2：史矛革之战
120467,The Grand Budapest Hotel,布达佩斯大饭店
13475,Star Trek,星际迷航
285,Pirates of the Caribbean: At World's End,加勒比海盗：世界的尽头
102651,Maleficent,沉睡魔咒
348,Alien,异形
190859,American Sniper,美国狙击手
206647,Spectre,007：幽灵党
274,The Silence of the Lambs,沉默的羔羊
752,V for Vendetta,刺客教條
1893,Star Wars: Episode I - The Phantom Menace,星球大战：第一集 - 幽灵的威胁
44214,Black Swan,黑天鹅
54138,Star Trek Into Darkness,星际迷航：暗黑无界
607,Men in Black,黑衣人
119450,Dawn of the Planet of the Apes,猩球崛起2：黎明的进化
1124,The Prestige,致命魔术
8681,Taken,特种部队
2062,Ratatouille,美食总动员
61791,Rise of the Planet of the Apes,猩球崛起
1422,The Departed,无间道
424,Schindler's List,辛德勒的名单
558,Spider-Man 2,蜘蛛侠2
273248,The Hateful Eight,八恶人
244786,Whiplash,爆裂鼓手
10191,How to Train Your Dragon,驯龙高手
280,Terminator 2: Judgment Day,终结者2：审判日
102382,The Amazing Spider-Man 2,超凡蜘蛛侠2
168259,Furious 7,速度与激情7
41154,Men in Black 3,黑衣人3
218,The Terminator,终结者
1895,Star Wars: Episode III - Revenge of the Sith,星球大战：西斯的复仇
152601,Her,她
36657,X-Men,X战警
64688,21 Jump Street,21 跳街
808,Shrek,怪物史莱克
76170,The Wolverine,金刚狼
497,The Green Mile,綠色奇蹟
1858,Transformers,变形金刚
77,Memento,记忆碎片
2080,X-Men Origins: Wolverine,金刚狼：X战警前传
1894,Star Wars: Episode II - Attack of the Clones,星球大战：第二集 - 克隆人的进攻
131634,The Hunger Games: Mockingjay - Part 2,饥饿游戏3：嘲笑鸟(下)
56292,Mission: Impossible - Ghost Protocol,不可能的任务：幽灵协议
393,Kill Bill: Vol. 2,杀死比尔2
562,Die Hard,不可能的任务
228150,Fury,战狼行动
58574,Sherlock Holmes: A Game of Shadows,神探夏洛克：诡影游戏
18,The Fifth Element,第五元素
920,Cars,赛车总动员
425,Ice Age,冰河世纪
36557,Casino Royale,赌场风云
85,Raiders of the Lost Ark,夺宝奇兵
262500,Insurgent,叛逆者
165,Back to the Future Part II,回到未来第二部
863,Toy Story 2,玩具总动员2
640,Catch Me If You Can,不可思议的盗贼
2048,"I, Robot",我，机器人
161,Ocean's Eleven,十一罗汉
64682,The Great Gatsby,了不起的盖茨比
222935,The Fault in Our Stars,我们的星星之殇
694,The Shining,闪灵
45243,The Hangover Part II,宿醉2
64690,Drive,驱动
500,Reservoir Dogs,恶犬帮
76203,12 Years a Slave,为奴十二年
38,Eternal Sunshine of the Spotless Mind,消失的光年
87101,Terminator Genisys,终结者：创世纪
118,Charlie and the Chocolate Factory,查理和巧克力工厂
162,Edward Scissorhands,剪刀手爱德华
2501,The Bourne Identity,谍影重重
559,Spider-Man 3,蜘蛛侠3
8966,Twilight,暮光之城
19908,Zombieland,僵尸之地
68728,Oz: The Great and Powerful,绿野仙踪：大魔法师
62211,Monsters University,怪兽大学
36668,X-Men: The Last Stand,X战警3：最后的抗争
78,Blade Runner,银翼杀手
36658,X2,X战警2
47964,A Good Day to Die Hard,极品飞车6：狂野速度 (NotSure)
328111,The Secret Life of Pets,宠物的秘密生活
141,Donnie Darko,暗黑者
604,The Matrix Reloaded,重装上阵
68724,Elysium,不确定
9799,The Fast and the Furious,速度与激情
68734,Argo,逃离德黑兰
49530,In Time,时间刻印
812,Aladdin,阿拉丁
242582,Nightcrawler,夜行者
37799,The Social Network,社交网络
