id,original_title,chinese_title
27205,Inception,盗梦空间
155,The Dark Knight,黑暗骑士
19995,Avatar,阿凡达
24428,The Avengers,复仇者联盟
293660,Deadpool,死侍
157336,Interstellar,星际穿越
68718,Django Unchained,被解放的姜戈
118340,Guardians of the Galaxy,银河护卫队
70160,The Hunger Games,饥饿游戏
76341,Mad Max: Fury Road,疯狂的麦克斯：狂暴之路
550,Fight Club,搏击俱乐部
49026,The Dark Knight Rises,黑暗骑士：黎明昇起
603,The Matrix,黑客帝国
68721,Iron Man 3,钢铁侠3
1726,Iron Man,钢铁侠
120,The Lord of the Rings: The Fellowship of the Ring,魔戒首部曲：魔戒班露迪安
135397,Jurassic World,侏罗纪世界
680,Pulp Fiction,低俗小说
49051,The Hobbit: An Unexpected Journey,意外旅程
278,The Shawshank Redemption,月黑高飞
122,The Lord of the Rings: The Return of the King,魔戒三部曲：王者再临
13,Forrest Gump,阿甘正传
37724,Skyfall,007：大破天幕杀机
597,Titanic,泰坦尼克号
121,The Lord of the Rings: The Two Towers,魔戒二部曲：雙城奇謀
297761,Suicide Squad,自杀小队
272,Batman Begins,蝙蝠侠：侠影之谜
286217,The Martian,火星救援
271110,Captain America: Civil War,Captain America: Civil War
1771,Captain America: The First Avenger,美国队长：复仇者先锋
671,Harry Potter and the Philosopher's Stone,哈利·波特与魔法石
209112,Batman v Superman: Dawn of Justice,蝙蝠侠大战超人：正义黎明
22,Pirates of the Caribbean: The Curse of the Black Pearl,加勒比海盗：黑珍珠号的诅咒
14160,Up,飞屋环游记
10138,Iron Man 2,钢铁侠2
99861,Avengers: Age of Ultron,复仇者联盟2：奥创纪元
11,Star Wars,星球大战
1930,The Amazing Spider-Man,超凡蜘蛛侠
106646,The Wolf of Wall Street,华尔街之狼
150540,Inside Out,头脑特工队
10195,Thor,雷神
101299,The Hunger Games: Catching Fire,饥饿游戏2：星火燎原
20352,Despicable Me,神偷奶爸
16869,Inglourious Basterds,无耻混蛋
281957,The Revenant,荒野猎人
49521,Man of Steel,钢铁侠
11324,Shutter Island,诡影迷情
10681,WALL·E,机器人总动员
18785,The Hangover,宿醉
177572,Big Hero 6,超能陆战队
12,Finding Nemo,海底总动员
105,Back to the Future,回到未来
127585,X-Men: Days of Future Past,X战警：逆转未来
585,"Monsters, Inc.",怪兽公司
238,The Godfather,教父
102899,Ant-Man,蟻人
1891,The Empire Strikes Back,帝国反击战
240832,Lucy,露西
673,Harry Potter and the Prisoner of Azkaban,哈利·波特与阿兹卡班的囚徒
210577,Gone Girl,消失的女孩
672,Harry Potter and the Chamber of Secrets,哈利·波特与密室
87827,Life of Pi,少年派的奇幻漂流
10528,Sherlock Holmes,神探夏洛克
807,Se7en,七宗罪
100402,Captain America: The Winter Soldier,Captain America: The Winter Soldier
49047,Gravity,地心引力
205596,The Imitation Game,模仿游戏
674,Harry Potter and the Goblet of Fire,哈利·波特与火焰杯
131631,The Hunger Games: Mockingjay - Part 1,饥饿游戏3：嘲笑鸟（上）
72190,World War Z,世界大战Z
675,Harry Potter and the Order of the Phoenix,哈利·波特与凤凰社
75656,Now You See Me,谜影重重
98,Gladiator,角斗士
8587,The Lion King,狮子王
198663,The Maze Runner,试炼者迷宫
109445,Frozen,冰雪奇缘
767,Harry Potter and the Half-Blood Prince,哈利·波特与混血王子
862,Toy Story,玩具总动员
557,Spider-Man,蜘蛛侠
58,Pirates of the Caribbean: Dead Man's Chest,加勒比海盗：死无对证
49538,X-Men: First Class,X战警：第一战
9806,The Incredibles,超人总动员
70981,Prometheus,普罗米修斯
857,Saving Private Ryan,拯救大兵瑞恩
1271,300,300
24,Kill Bill: Vol. 1,杀死比尔：第一集
1865,Pirates of the Caribbean: On Stranger Tides,加勒比海盗：惊涛怪浪
14161,2012,2012
137113,Edge of Tomorrow,明日边缘
329,Jurassic Park,侏罗纪公园
6479,I Am Legend,我是传奇
75612,Oblivion,遗忘星球
68726,Pacific Rim,环太平洋
122917,The Hobbit: The Battle of the Five Armies,哈比人：五军之战
76338,Thor: The Dark World,雷神2：黑暗世界
82693,Silver Linings Playbook,乌云背后的幸福线索
264660,Ex Machina,机械姬
246655,X-Men: Apocalypse,天启：X战警
59967,Looper,未来战警
72105,Ted,泰迪
