id,original_title,chinese_title
184,Jackie Brown,杰基布朗
75,Mars Attacks!,火星人攻击！
2649,The Game,NotSure
4982,American Gangster,美国黑帮
414,Batman Forever,蝙蝠侠前传
159824,Hotel Transylvania 2,魔境夜行记2
8699,Anchorman: The Legend of Ron Burgundy,NotSure
11688,The Emperor's New Groove,新斗篷的皇帝
2567,The Aviator,飞行家
1368,First Blood,第一滴血
13811,Knowing,知道
45317,The Fighter,拳击手
203833,The Book Thief,偷书贼
2493,The Princess Bride,公主新娘
22803,Law Abiding Citizen,法外之徒
9679,Gone in Sixty Seconds,速度与激情
142,Brokeback Mountain,断背山
1018,Mulholland Drive,穆荷兰大道
4232,Scream,尖叫
5255,The Polar Express,极地特快
27022,The Sorcerer's Apprentice,魔法师的学徒
188161,A Million Ways to Die in the West,西部世界的一百万种死法
23168,The Town,镇暴风云
133805,Carrie,嘉莉
325133,Neighbors 2: Sorority Rising,Bad Neighbors 2
7485,Shooter,狙击手
10530,Pocahontas,宝嘉康蒂斯 (Bǎo Jiā Kāng Dì Sī)
9802,The Rock,绝地任务
119283,Parker,帕克
1538,Collateral,极限职业
14574,The Boy in the Striped Pyjamas,被泽布尔斯基囚禁的男孩
75174,The Grey,灰狼
4523,Enchanted,NotSure
44943,Battle: Los Angeles,洛杉矶之战
4011,Beetlejuice,不确定
935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,奇爱博士
193610,The Other Woman,别的女人
10386,The Iron Giant,铁巨人
310131,The Witch,巫婆
9444,Anastasia,安娜塔西娅
57165,Wrath of the Titans,诸神之怒
72976,Lincoln,林肯
12437,Underworld: Rise of the Lycans,地下世界3：狼族崛起
7451,xXx,极限特工
1624,Liar Liar,"骗子，骗子 (Piànzi, Piànzi)"
15512,Monsters vs Aliens,怪兽大战外星人
322,Mystic River,迷河
289,Casablanca,卡萨布兰卡
1996,Lara Croft Tomb Raider: The Cradle of Life,古墓丽影2：生命圣器
415,Batman & Robin,蝙蝠侠与罗宾
205587,The Judge,法官
1584,School of Rock,NotSure
9836,Happy Feet,开心脚
291870,Dirty Grandpa,NotSure
3170,Bambi,小鹿斑比
132232,Mama,妈妈
227306,Unbroken,不屈的生命
1452,Superman Returns,超人归来
5876,The Mist,迷雾
20662,Robin Hood,罗宾汉
59962,This Means War,特工爷爷
8321,In Bruges,布鲁日之恋
1735,The Mummy: Tomb of the Dragon Emperor,木乃伊3：龙帝之墓
14836,Coraline,可可莉的异次元冒险
8871,How the Grinch Stole Christmas,怪物史瑞克
11631,Mamma Mia!,妈妈咪呀！
117,The Untouchables,无法确定
27581,The Other Guys,绝对不正常
60308,Moneyball,壮志凌云
9532,Final Destination,终极目标
8065,21,21
1813,The Devil's Advocate,魔鬼代言人
454,Romeo + Juliet,罗密欧与朱丽叶
693,Meet the Fockers,NotSure
249164,If I Stay,如果我留下
8078,Alien: Resurrection,异形4：复活
35791,Resident Evil: Afterlife,生化危机4：战后生机
298312,The Visit,访问
4348,Pride & Prejudice,傲慢与偏见
634,Bridget Jones's Diary,BJ单身日记
277216,Straight Outta Compton,麻城出击
10895,Pinocchio,木偶奇遇记
16996,17 Again,重返17岁
270946,Penguins of Madagascar,企鹅公路
59961,Safe House,安全屋
2770,American Pie 2,美国派2
11322,Public Enemies,公众之敌
3021,1408,1408 does not have an officially translated Chinese name. NotSure
14306,Marley & Me,马利和我
251,Ghost,鬼影
9398,Zoolander,超级名模
1830,Lord of War,战争之王
9928,Robots,机器人
41630,No Strings Attached,不求回报
64686,47 Ronin,不确定
39538,Contagion,传染病 (Chuánrǎnbìng)
109421,Side Effects,副作用
186,Lucky Number Slevin,幸运数字斯莱文
272693,The DUFF,NotSure
4133,Blow,吹风者
