id,original_title,chinese_title,back_translation,similarity,vote_count,LFT_R1,LFT_R2,Unnamed: 8,AEATT_R1,AEATT_R2,Unnamed: 11
1422,The Departed,无间道,Infernal Affairs,0.2857142857142857,4339,3,3,,0,0,
244786,Whiplash,爆裂鼓手,Exploding Drummer,0.16,4254,3,3,,1,1,
10191,How to Train Your Dragon,驯龙高手,Dragon Tamer,0.3333333333333334,4227,2,1,,0,1,
168259,Furious 7,速度与激情7,Speed and Passion 7,0.2857142857142857,4176,2,3,,0,0,
152601,Her,她,She,0.3333333333333334,4097,0,0,,0,0,
562,Die Hard,不可能的任务,Impossible Mission,0.2307692307692307,3948,3,3,,0,0,
228150,Fury,战狼行动,Wolf Warrior Action,0.08695652173913049,3946,3,3,,1,1,
920,Cars,赛车总动员,Car Racing Total Mobilization,0.1818181818181818,3877,2,2,,0,0,
262500,Insurgent,叛逆者,Rebel.,0.1333333333333333,3829,1,1,,0,0,
640,Catch Me If You Can,不可思议的盗贼,Incredible Thief,0.2285714285714285,3795,3,3,,1,0,
161,Ocean's Eleven,十一罗汉,Eleven Arhats,0.4444444444444444,3783,2,2,,0,0,
222935,The Fault in Our Stars,我们的星星之殇,Our Star's Tragedy,0.45,3759,2,2,,0,0,
500,Reservoir Dogs,恶犬帮,Bad Dog Gang,0.3076923076923077,3697,2,2,,0,0,
38,Eternal Sunshine of the Spotless Mind,消失的光年,The Disappeared Light Years,0.28125,3652,2,3,,0,0,
2501,The Bourne Identity,谍影重重,Multiple Shadows,0.2285714285714285,3583,3,3,,0,0,
19908,Zombieland,僵尸之地,Land of Zombies,0.48,3550,0,0,,0,0,
78,Blade Runner,银翼杀手,Silver Wing Killer,0.4,3509,2,3,,0,0,
36658,X2,X战警2,X-Men 2,0.4444444444444444,3506,2,2,,0,0,
47964,A Good Day to Die Hard,极品飞车6：狂野速度,Need for Speed 6: Wild Speed,0.32,3493,3,3,,0,0,
9799,The Fast and the Furious,速度与激情,Speed and Passion,0.3902439024390244,3428,1,1,,0,0,
