id,original_title,chinese_title
9339,Click,点击
8363,Superbad,超猛特警组
268,Batman,蝙蝠侠
106,Predator,掠食者
27576,Salt,盐
1571,Live Free or Die Hard,极度危机
389,12 Angry Men,十二怒汉
331,Jurassic Park III,侏罗纪公园III
9693,Children of Men,人类之子
307081,Southpaw,拳王
122906,About Time,时空恋旅人
1359,American Psycho,美国精神病患者
1572,Die Hard: With a Vengeance,虎胆龙威3
1576,Resident Evil,生化危机
17578,The Adventures of Tintin,丁丁历险记
1954,The Butterfly Effect,蝴蝶效应
28,Apocalypse Now,现在的启示录
44896,Rango,超能陆龟
11321,Seven Pounds,七磅
87421,Riddick,瑞迪克
49013,Cars 2,赛车总动员2
584,2 Fast 2 Furious,极速风云
956,Mission: Impossible III,不可能的任务3
80278,Lo imposible,海啸奇迹
1949,Zodiac,宗师
32657,Percy Jackson & the Olympians: The Lightning Thief,波西·杰克逊与神火之盗
10674,Mulan,花木兰
9552,The Exorcist,驱魔人
298,Ocean's Thirteen,十三罗汉
262504,Allegiant,分歧者3：忠诚世界
587,Big Fish,大鱼
293863,The Age of Adaline,永生的阿黛琳
59436,Midnight in Paris,午夜巴黎
6957,The 40 Year Old Virgin,四十岁的童贞
644,A.I. Artificial Intelligence,人工智能
18360,Night at the Museum: Battle of the Smithsonian,博物馆奇妙夜2
85350,Boyhood,少年时代
14869,G.I. Joe: The Rise of Cobra,特种部队：眼镜蛇的崛起
10192,Shrek Forever After,怪物史莱克4：永远之后
238636,The Purge: Anarchy,清洗：无政府状态
259693,The Conjuring 2,招魂2
9741,Unbreakable,不死者
299687,The 5th Wave,第五波
254470,Pitch Perfect 2,完美音调2
49049,Dredd,毒战
286565,Paper Towns,纸上城市
76726,Chronicle,编年史
955,Mission: Impossible II,Mission: Impossible II
2059,National Treasure,国家宝藏
81188,Rise of the Guardians,守护者联盟
147441,Exodus: Gods and Kings,出埃及记：天地王者
9654,The Italian Job,意大利任务
38055,Megamind,超能陆战队
312221,Creed,奎迪的挑战
408,Snow White and the Seven Dwarfs,白雪公主与七个小矮人
50014,The Help,冥助
3131,Gangs of New York,纽约黑帮
594,The Terminal,逃离德黑兰
36647,Blade,刀锋
1573,Die Hard 2,绝地奇兵2
616,The Last Samurai,最后的武士
153,Lost in Translation,迷失东京
3933,Corpse Bride,尸新娘
117251,White House Down,白宫危机
82695,Les Misérables,悲惨世界
257211,The Intern,实习生
49444,Kung Fu Panda 2,功夫熊猫2
508,Love Actually,真爱至上
423,The Pianist,钢琴师
52520,Underworld: Awakening,觉醒：黑夜传说
8467,Dumb and Dumber,NotSure
181533,Night at the Museum: Secret of the Tomb,博物馆奇妙夜3
12162,The Hurt Locker,战地记者
270303,It Follows,跟踪者
72710,The Host,宿主
10201,Yes Man,NotSure
855,Black Hawk Down,黑鹰坠落
10527,Madagascar: Escape 2 Africa,马达加斯加2：逃离非洲
80321,Madagascar 3: Europe's Most Wanted,马达加斯加3：欧洲大联欢
782,Gattaca,智能叛变
18240,The Proposal,求婚大作战
8247,Jumper,跳跃者
227156,The Giver,掌握者
138103,The Expendables 3,敢死队3
17431,Moon,月球
1366,Rocky,洛基
676,Pearl Harbor,珍珠港
2787,Pitch Black,黑暗星球
39513,Paul,保罗
1637,Speed,极速风流
82682,Gangster Squad,黑帮帮派
107985,The World's End,世界尽头之战
170,28 Days Later,惊变28天
253412,Everest,珠穆朗玛峰
1635,The Island,孤岛惊魂
13053,Bolt,闪电狗
22794,Cloudy with a Chance of Meatballs,食破天驚
114,Pretty Woman,漂亮女人
76493,The Dictator,独裁者
49018,Insidious,潜伏
