id,original_title,chinese_title
274854,The Last Witch Hunter,最后的巫师猎人
23827,Paranormal Activity,超自然现象
7453,The Hitchhiker's Guide to the Galaxy,银河系漫游指南
11544,Lilo & Stitch,史迪奇与他的伙伴
2118,L.A. Confidential,飙车狂潮
88751,Journey to the Center of the Earth,地心历险记
270487,"Hail, Caesar!",请大家欢迎，凯撒大帝！
686,Contact,接触
524,Casino,赌场
316727,The Purge: Election Year,特殊清洗：大选之年
2268,The Golden Compass,北极星之旅
1878,Fear and Loathing in Las Vegas,恐惧与厌恶之拉斯维加斯
824,Moulin Rouge!,红磨坊
72570,The Vow,誓约
7737,Resident Evil: Extinction,生化危机3：灭绝
2300,Space Jam,空中大灌篮
9428,The Royal Tenenbaums,天才家族
189,Sin City: A Dame to Kill For,罪恶之城2：杀手为夫
205584,Gods of Egypt,埃及之神
205775,In the Heart of the Sea,心海传奇
8916,Antz,蚂蚁总动员
59440,Warrior,勇士
1701,Con Air,空中监狱
72331,Abraham Lincoln: Vampire Hunter,林肯猎魔人
4547,Panic Room,惊魂密室
76649,Pompeii,庞贝
1577,Resident Evil: Apocalypse,生化危机2
76640,The Last Stand,最后的防线
48138,Unknown,未知
16320,Serenity,宁静号
50456,Hanna,汉娜
509,Notting Hill,诺丁山
22971,Dear John,亲爱的约翰
12244,9,9
40807,50/50,50/50 does not have an official Chinese name. NotSure
21208,Orphan,孤儿
49524,R.I.P.D.,超能特警队
158011,The Call,NotSure
198277,Begin Again,重新开始
36648,Blade: Trinity,刀锋战士3
376659,Bad Moms,坏妈妈
40805,The Green Hornet,青蜂侠
215,Saw II,恶魔之锯II
10198,The Princess and the Frog,公主与青蛙
4553,The Machinist,机械师
869,Planet of the Apes,猩球崛起
261023,Black Mass,黑色幽默
9798,Enemy of the State,敌国之敌
345,Eyes Wide Shut,闪闪发光的眼睛
1907,The Beach,海滩
43347,Love & Other Drugs,不确定
4327,Charlie's Angels,查理的天使
140823,Saving Mr. Banks,搭救潘恩夫人
1581,The Holiday,假日
10865,Atlantis: The Lost Empire,亚特兰蒂斯：失落的帝国
866,Finding Neverland,寻找梦幻岛
4944,Burn After Reading,不要在读取后燃烧
1579,Apocalypto,亡灵之谷
5503,The Fugitive,逃亡者
193893,Let's Be Cops,让我们当警察
395,AVP: Alien vs. Predator,异形大战铁血战士
4964,Knocked Up,NotSure
167073,Brooklyn,布鲁克林
9659,Mad Max,疯狂的麦克斯
91586,Insidious: Chapter 2,潜伏2
65086,The Woman in Black,女人穿黑衣
86838,Seven Psychopaths,七个神经病
34851,Predators,铁血战士
792,Platoon,排长
22947,Up in the Air,飞行中
10096,13 Going on 30,30岁的女人
259694,How to Be Single,单身指南
1562,28 Weeks Later,惊变28周
87093,Big Eyes,大眼睛
296099,Vacation,度假
19959,Surrogates,机器代言人
5176,3:10 to Yuma,3:10 to Yuma does not have an official Chinese name. NotSure
2270,Stardust,星尘
9342,The Mask of Zorro,Zorro之面具
433,Mary Poppins,迷人的保姆
1272,Sunshine,阳光
271718,Trainwreck,NotSure
377,A Nightmare on Elm Street,血腥黑街恶梦
41513,The Smurfs,蓝精灵
6477,Alvin and the Chipmunks,NotSure
10315,Fantastic Mr. Fox,狐狸先生
10483,Death Race,死亡飞车赛 (Sǐwáng Fēichē Sài)
710,GoldenEye,黄金眼
2253,Valkyrie,瓦尔基里
137094,Jack Ryan: Shadow Recruit,杰克·莱恩：刺影重重
9870,Forgetting Sarah Marshall,超级忘女友
5559,Bee Movie,蜜蜂总动员
77016,End of Watch,警察故事
44048,Unstoppable,不可阻挡
1427,Perfume: The Story of a Murderer,香水：一个谋杀犯的故事
1495,Kingdom of Heaven,天国王朝
8698,The League of Extraordinary Gentlemen,卓越绅士联盟
109418,Grown Ups 2,大人小孩2
10196,The Last Airbender,最后的气宗
2698,Evan Almighty,诺亚奇航记
