id,original_title,chinese_title
105864,The Good Dinosaur,恐龙当家
241259,Alice Through the Looking Glass,爱丽丝梦游仙境2：镜中奇遇记
109428,Evil Dead,邪恶死亡
28178,Hachi: A Dog's Tale,忠犬八公的故事
1250,Ghost Rider,鬼魅车手
861,Total Recall,全面回忆
380,Rain Man,雨人
762,Monty Python and the Holy Grail,圣杯咖喱飞行团
9615,The Fast and the Furious: Tokyo Drift,速度与激情：东京漂移
38365,Grown Ups,长大后
97630,Zero Dark Thirty,杀戮本能
4951,10 Things I Hate About You,十件我恨你的事
9737,Bad Boys,不良少年
37710,The Tourist,旅行者
744,Top Gun,壮志凌云
1597,Meet the Parents,NotSure
225886,Sex Tape,不确定
4108,The Transporter,极速快递
773,Little Miss Sunshine,小小太阳公主
41733,Due Date,预产期
184315,Hercules,大力神
364,Batman Returns,蝙蝠侠归来
138697,Don Jon,不确定
44264,True Grit,坚毅的勇气
7446,Tropic Thunder,逃离丛林
8488,Hitch,全民情敌
83666,Moonrise Kingdom,月升王国
55721,Bridesmaids,伴娘
1933,The Others,冥婚
107846,Escape Plan,逃出生天
116741,The Internship,实习生
97367,The Place Beyond the Pines,无法确定
38050,The Adjustment Bureau,调控风暴
224141,Into the Woods,穿越森林
302699,Central Intelligence,中情局特工
100,"Lock, Stock and Two Smoking Barrels",不得了的盖瑞 NotSure
76285,Percy Jackson: Sea of Monsters,波西·杰克逊与魔兽之海
3049,Ace Ventura: Pet Detective,宠物侦探
109431,Identity Thief,身份窃贼
630,The Wizard of Oz,绿野仙踪
2034,Training Day,训练日
8077,Alien³,异形³
388,Inside Man,不确定
2454,The Chronicles of Narnia: Prince Caspian,纳尼亚传奇：凯斯宾王子
65,8 Mile,街头霸王
23629,Sucker Punch,重击
267860,London Has Fallen,伦敦陷落
1491,The Illusionist,幻影师
71552,American Reunion,美国派：美国重聚
755,From Dusk Till Dawn,恶魔之午夜
140300,Kung Fu Panda 3,功夫熊猫3
123553,The Mortal Instruments: City of Bones,暮光之城：骸骨之城
71679,Resident Evil: Retribution,生化危机5：惩罚
568,Apollo 13,阿波罗13号
2675,Signs,迹象
22881,The Blind Side,当家的女人
927,Gremlins,小鬼当家
788,Mrs. Doubtfire,爸爸不是妈妈 (Bàba bùshì māmā)
544,There's Something About Mary,疯狂的玛丽
136400,2 Guns,双枪 (Shuāng qiāng)
1091,The Thing,怪物
52449,Bad Teacher,坏老师
754,Face/Off,双面间谍
274479,Joy,喜悦
621,Grease,NotSure
496,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,波拉特：为了光荣的哈萨克斯坦而学习美国文化
136795,The Heat,热血警花
82507,Sinister,灵异凶宅
321697,Steve Jobs,史蒂夫·乔布斯
134374,Pain & Gain,痛苦与收获
2789,The Chronicles of Riddick,黑暗传说
332567,The Shallows,浅海惊魂
46529,I Am Number Four,我是四号
8961,Bad Boys II,坏小子2
57214,Project X,NotSure
563,Starship Troopers,星际战士
10555,Shark Tale,鲨鱼总动员
9509,Man on Fire,火线狙击
7299,Equilibrium,平衡
122081,Spring Breakers,春假狂欢者
37834,Knight and Day,不确定
242,The Godfather: Part III,教父3
50546,Just Go with It,不确定
7345,There Will Be Blood,石油之歌
227159,Horrible Bosses 2,不知道
1927,Hulk,绿巨人
879,Hook,钩
834,Underworld: Evolution,黑夜传说2
36586,Blade II,刀锋战士2
11253,Hellboy II: The Golden Army,地狱男爵2：黄金军团
193756,Lone Survivor,孤独的幸存者
146216,RED 2,红色2
290595,The Huntsman: Winter's War,冰雪女王之魔镜传说
152760,The Monuments Men,特勤行动
235,Stand by Me,不确定
136797,Need for Speed,极品飞车
228161,Home,宝贝回家
250546,Annabelle,安娜贝尔
628,Interview with the Vampire,Interview with the Vampire
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,纳尼亚传奇：黎明行者号的航海记
