id,original_title,chinese_title
17654,District 9,第九区
240,The Godfather: Part II,教父2
197,Braveheart,勇敢的心
38757,Tangled,魔髮奇緣
187017,22 Jump Street,跳跃街22
14,American Beauty,美国丽人
266856,The Theory of Everything,万物理论
38356,Transformers: Dark of the Moon,变形金刚3：月黑之时
4922,The Curious Case of Benjamin Button,奇异的案例
601,E.T. the Extra-Terrestrial,外星人
602,Independence Day,独立日
216015,Fifty Shades of Grey,五十度灰
629,The Usual Suspects,常疑犯案
60304,Hansel & Gretel: Witch Hunters,汉赛尔与格蕾特：猎巫行动
953,Madagascar,马达加斯加
291805,Now You See Me 2,谜影重重2
177677,Mission: Impossible - Rogue Nation,不可能的任务：失控国度
679,Aliens,外星人
8358,Cast Away,孤岛营救
89,Indiana Jones and the Last Crusade,印第安纳琼斯与最后的十字军东征
745,The Sixth Sense,第六感
9502,Kung Fu Panda,功夫熊猫
116745,The Secret Life of Walter Mitty,华尔特·米蒂的秘密生活
8373,Transformers: Revenge of the Fallen,变形金刚：复仇之战
769,GoodFellas,好家伙
58595,Snow White and the Huntsman,白雪公主与猎人
608,Men in Black II,黑衣人2
82702,How to Train Your Dragon 2,驯龙高手2
605,The Matrix Revolutions,黑客帝国3
91314,Transformers: Age of Extinction,变形金刚4：绝迹重生
138843,The Conjuring,招魂
350,The Devil Wears Prada,穿普拉达的女王
13223,Gran Torino,不知道
146233,Prisoners,被劫持者
137106,The Lego Movie,乐高大电影
11036,The Notebook,恋恋笔记本
198184,Chappie,恰比
5915,Into the Wild,荒野獵人
294254,Maze Runner: The Scorch Trials,移动迷宫2：烧痕审判
72559,G.I. Joe: Retaliation,美国特种部队2：复仇
1724,The Incredible Hulk,无敌绿巨人
73,American History X,美国X档案
310,Bruce Almighty,神鬼交鋒
453,A Beautiful Mind,美丽心灵
6977,No Country for Old Men,无老之地
62,2001: A Space Odyssey,2001：太空漫游
75780,Jack Reacher,杰克·里奇
809,Shrek 2,怪物史莱克2
117263,Olympus Has Fallen,白宫陷落
83542,Cloud Atlas,云图
138832,We're the Millers,家有囧妻
84892,The Perks of Being a Wallflower,不确定
254128,San Andreas,NotSure
787,Mr. & Mrs. Smith,史密斯夫妇
10764,Quantum of Solace,量子危机
8960,Hancock,韩可克
156022,The Equalizer,特工狂花
950,Ice Age: The Meltdown,冰河世纪2
111,Scarface,疤面煞星
27578,The Expendables,不可战胜
115,The Big Lebowski,NotSure
510,One Flew Over the Cuckoo's Nest,飞越疯人院
107,Snatch,抢钱夺宝
19913,(500) Days of Summer,(500)天的夏天
196,Back to the Future Part III,回到未来第三部
76163,The Expendables 2,敢死队2
278927,The Jungle Book,森林奇缘
2503,The Bourne Ultimatum,谍影重重3
152532,Dallas Buyers Club,达拉斯买家俱乐部
1593,Night at the Museum,博物馆奇妙夜
158852,Tomorrowland,未来世界
20526,TRON: Legacy,创：战纪
12405,Slumdog Millionaire,贫民窟的百万富翁
2502,The Bourne Supremacy,谍影重重2
489,Good Will Hunting,心灵捕手
13183,Watchmen,守望者
39514,RED,红色
168672,American Hustle,美国骗局
87,Indiana Jones and the Temple of Doom,印第安纳琼斯与魔域奇谭
76757,Jupiter Ascending,木星升起
652,Troy,特洛伊
82675,Taken 2,特种部队2
264644,Room,房间
45269,The King's Speech,国王的演讲
195589,Neighbors,Bad Neighbors
207,Dead Poets Society,不确定
591,The Da Vinci Code,达·芬奇密码
45612,Source Code,源代码
39254,Real Steel,钢铁侠
187,Sin City,罪恶之城
314365,Spotlight,新闻聚焦
57800,Ice Age: Continental Drift,冰川时代4：大陆漂移
627,Trainspotting,猜火车 (Guessed Trains)
82654,Warm Bodies,温暖的尸体
49040,The Bourne Legacy,谍影重重：刺激点 (Diéyǐng chóngchóng: Cìjī diǎn)
98566,Teenage Mutant Ninja Turtles,忍者神龟
954,Mission: Impossible,碟中谍
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",《纳尼亚传奇：狮子、女巫和魔衣橱》
180,Minority Report,少数派报告
318846,The Big Short,大空头
